
2024/10/12 (16:58:42) | ===> btop++ v.1.4.0
2024/10/12 (16:58:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (12:32:22) | ===> btop++ v.1.4.0
2024/10/16 (12:32:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (16:02:41) | ===> btop++ v.1.4.0
2024/10/24 (16:02:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (19:34:01) | ===> btop++ v.1.4.0
2024/10/24 (19:34:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (13:37:14) | ===> btop++ v.1.4.0
2024/11/08 (13:37:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (11:50:48) | ===> btop++ v.1.4.0
2024/12/09 (11:50:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (13:27:23) | ===> btop++ v.1.4.0
2024/12/20 (13:27:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (13:27:33) | ===> btop++ v.1.4.0
2024/12/20 (13:27:33) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/20 (13:29:09) | ERROR: Stall in Runner thread, restarting!
2024/12/20 (13:29:23) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/12/20 (13:29:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state

2024/12/20 (13:29:51) | ===> btop++ v.1.4.0
2024/12/20 (13:29:51) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/20 (13:30:50) | WARNING: Failed to join _runner thread on exit!

2024/12/26 (09:41:44) | ===> btop++ v.1.4.0
2024/12/26 (09:41:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:21:24) | ===> btop++ v.1.4.0
2025/01/05 (21:21:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (14:44:01) | ===> btop++ v.1.4.0
2025/01/17 (14:44:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (16:42:25) | ===> btop++ v.1.4.0
2025/01/28 (16:42:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (09:32:01) | ===> btop++ v.1.4.0
2025/01/31 (09:32:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (18:30:27) | ===> btop++ v.1.4.0
2025/01/31 (18:30:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (21:24:12) | ===> btop++ v.1.4.0
2025/02/04 (21:24:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (15:12:09) | ===> btop++ v.1.4.0
2025/02/12 (15:12:09) | WARNING: Intel GPU: Failed to initialize PMU
